[NEMU] paddr read addr:0x00000000f0001156, data: 000000000000ff37, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000121c, data: 0000000000008d2d, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000121e, data: 000000000000453b, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113e, data: 00000000000007bb, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001220, data: 0000000000000805, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001140, data: 00000000000000c7, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001142, data: 0000000000001782, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001222, data: 00000000000045b3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001224, data: 00000000000000c5, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001226, data: 0000000000008985, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001228, data: 0000000000005613, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000122a, data: 0000000000000027, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001144, data: 00000000000083fd, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001146, data: 00000000000097ca, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000122c, data: 0000000000008105, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000122e, data: 000000000000c591, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000123a, data: 0000000000008e29, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000123c, data: 0000000000008a05, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000123e, data: 0000000000005593, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001148, data: 000000000000d683, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114a, data: 0000000000000007, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001240, data: 0000000000000037, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0003bdc, data: 00000000000000f3, len:2, type:1, mode:3
[NEMU] paddr read addr:0x00000000f000114c, data: 0000000000002705, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114e, data: 0000000000009e85, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001242, data: 0000000000008105, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001244, data: 000000000000c611, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001150, data: 0000000000009023, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001152, data: 00000000000000d7, len:2, type:0, mode:3
[NEMU] paddr write addr:0x00000000f0003bdc, data:000000000000005a, len:2, mode:3
[NEMU] paddr read addr:0x00000000f0001154, data: 00000000000065e3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001156, data: 000000000000ff37, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001158, data: 0000000000002585, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000115a, data: 000000000000863b, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000115c, data: 00000000000000c9, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000115e, data: 000000000000efe3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001160, data: 000000000000fd35, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113c, data: 0000000000004701, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113e, data: 00000000000007bb, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001140, data: 00000000000000c7, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001142, data: 0000000000001782, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001144, data: 00000000000083fd, len:2, type:0, mode:3
